PLAYER,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT
Thabo Sefolosha,28.5,17.5
Justin Anderson,5,10
Matt Barnes,50,7
Joe Ingles,86.5,4
Anthony Tolliver,11,2
Josh Huestis,24.5,2.5
Justin Hamilton,0,8.5
T.J. McConnell,2,1
Ian Clark,33.5,25
Jared Dudley,31,4
Patrick Patterson,53.5,8
Bobby Portis,37,73
Lance Stephenson,26,17
Brandan Wright,0,6
Alec Burks,10,15
Raymond Felton,9,6.5
Dwight Powell,0,10
Jaylen Brown,0,100
Michael Carter-Williams,0,5
Dante Cunningham,0,3
Kosta Koufos,37,8
Andre Roberson,10,8
Marcus Thornton,14,6
Sam Dekker,139,13
Amir Johnson,31.5,6
Kyle O'Quinn,0,7
Kelly Oubre,64.5,114.5
Dante Exum,48.5,28
Spencer Hawes,12,4
Trey Lyles,48,12
Chandler Parsons,59,16
Jonathon Simmons,58,40
Troy Williams,5,9
JaVale McGee,0,32
Zaza Pachulia,141.5,34
Glenn Robinson,79,26
David Nwaba,0,3
Jerian Grant,25,32.5
Andrew Harrison,0,17
Domantas Sabonis,0,82
Quincy Acy,4,4
Beno Udrih,5,8.5
Jason Smith,0,23
Taurean Waller-Prince,8.5,9
Ian Mahinmi,10,5
Georgios Papagiannis,7,3
Delon Wright,11.5,14
Jerami Grant,9,3
Anthony Morrow,0,5
Terry Rozier,2,6
Malcolm Delaney,1,1
Meyers Leonard,149,31
Derrick Jones,0,74
Chasson Randle,13.5,7
Omri Casspi,24,7
Randy Foye,2,4
Cameron Payne,38.5,21
Luis Scola,16,60
Denzel Valentine,23,24
Anthony Bennett,9,10.5
Aaron Brooks,1,3
Trey Burke,41,14
Joakim Noah,0,87
Thomas Robinson,15,6
Juan Hernangomez,21,18
Mario Hezonja,272,207
Tiago Splitter,8,9
Kevin Seraphin,4.5,8
Isaiah Canaan,24.5,8
Boris Diaw,136.5,13
Kris Humphries,67,9
David West,0,25
Corey Brewer,51.5,15.5
Reggie Bullock,20,13
C.J. Watson,1,3
Reggie Williams,0,0
Stanley Johnson,0,19
Jordan McRae,25.5,7.5
Donatas Motiejunas,9,3
Jarrod Uthoff,0,0
Noah Vonleh,23.5,12
Tyler Ennis,11,6
K.J. McDaniels,17,7
Brandon Rush,14,1.5
Shabazz Napier,159,72
Jason Terry,2,6
Justin Harper,1,1
Thon Maker,0,39.5
Edy Tavares,12.5,7
Anthony Brown,3,3
Jarell Martin,2,4
Malik Beasley,0,14
Kris Dunn,165,47
Jonas Jerebko,7,17
Tyus Jones,0,14
Adreian Payne,0,13
Rashad Vaughn,2,7
Tyler Zeller,15,14
Kyle Anderson,22,11.5
Dragan Bender,,
Jared Sullinger,11,2
Gary Payton,0,18
Wade Baldwin,0,36.5
Henry Ellenson,6.5,5
Paul Pierce,346.5,142
Briante Weber,29.5,14
Jarrett Jack,11.5,7
Sasha Vujacic,3,1
Alan Anderson,1,3
Andrew Bogut,57,4
Semaj Christon,0,3
Fred VanVleet,0,17.5
Jeff Withey,16,5
Marcus Georges-Hunt,3,5
Kyle Singler,9,6
Omer Asik,,
Tomas Satoransky,7,8.5
Andrew Nicholson,5,5
Bobby Brown,4,1
DeAndre Liggins,2,2
Kevon Looney,0,18.5
Miles Plumlee,11,3
Mike Scott,2,1
Greivis Vasquez,10,8.5
James Young,0,12
Rakeem Christmas,13,3
Manny Harris,2,3
Udonis Haslem,28.5,18
Tim Quarterman,0,1
John Jenkins,3,1
Lamar Patterson,4,4
Cole Aldrich,22,9
Nick Collison,10,12
Bruno Caboclo,11,8
Ryan Kelly,17,10
Jordan Mickey,0,3
Jarnell Stokes,7,9
Mike Miller,50,14.5
Anderson Varejao,20,3
Mike Tobey,1,0
C.J. Wilcox,3,3
Kyle Wiltjer,4,13.5
Alonzo Gee,,
Larry Sanders,24.5,18
Arinze Onuaku,0,1
Patricio Garino,3,5
