PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
Al Jefferson,IND,32,66,33,33,14.1,102.3,108.1,-5.8,11.4,1.73,9.5,8.6,25.1,16.5,5.5,49.9,52.6,26,96.89,13.3
Willy Hernangomez,NYK,23,72,27,45,18.4,104.8,107.6,-2.8,11.6,0.96,13.4,14.2,26.3,20.4,14,53.3,56.4,20.2,99.12,13.3
Kyle O'Quinn,NYK,27,79,29,50,15.6,102.1,108.9,-6.8,14.9,1.54,18.2,13.8,25,19.3,11.8,52.3,55.2,18.6,97.82,13.2
Jeremy Lin,BKN,28,36,13,23,24.5,103.5,106.4,-2.9,33.8,2.14,25.1,1.3,14.6,8,11.7,51,56.6,25.9,106.86,13.1
Jeff Teague,IND,29,82,42,40,32.4,108.1,106.8,1.2,35.9,2.96,32.8,1.4,12.3,7,11.1,49.2,57.4,22.1,98.98,13.1
Tyson Chandler,PHX,34,47,15,32,27.6,106.6,109.5,-2.9,3.3,0.46,7.9,12.7,33.9,23,17.2,67.1,70.3,11.3,101.88,13.1
Clint Capela,HOU,23,65,44,21,23.9,113.7,105.9,7.8,6.6,0.72,8,12.7,25,18.8,11,64.3,63.8,20.1,101.19,13
Goran Dragic,MIA,31,73,40,33,33.7,106.7,106,0.6,28.3,2,22,2.8,9.8,6.3,11,52.7,57.5,26.8,98.16,13
Beno Udrih,DET,34,39,18,21,14.4,103.3,97.9,5.4,36.4,3.64,34.6,1.2,10.2,5.8,9.5,49.5,53.5,20.1,95.46,13
Shawn Long,PHI,24,18,5,13,13,110.5,108,2.6,8.7,1,8.6,19.6,21.4,20.5,8.6,59.2,59.5,24.5,101.37,12.8
George Hill,UTA,31,49,33,16,31.5,109.7,101,8.6,22.7,2.4,20.8,1.7,10.5,6.2,8.7,55.4,59.9,23.6,92.9,12.8
Alan Williams,PHX,24,47,11,36,15.1,105.6,105.8,-0.3,4.9,0.62,6.1,13.8,29.3,21.5,9.8,51.7,54.7,20.6,102.8,12.7
Trevor Booker,BKN,29,71,18,53,24.7,99.4,107.3,-7.9,13.1,1.09,15.3,8.9,25.1,17.2,14,53.7,55.4,18.8,103.12,12.7
Archie Goodwin,BKN,22,15,8,7,14.3,103.3,108.7,-5.4,18.6,1.71,19.6,3.9,10.6,7.4,11.4,58.3,65.1,20.9,99.52,12.7
Nerlens Noel,DAL,23,51,24,27,20.5,103,105.5,-2.6,7.8,0.98,10.9,10,22.5,16.1,11.1,59.5,62.2,17.6,98.69,12.7
Paul Millsap,ATL,32,69,40,29,34,105,103,2,17.2,1.59,16.2,5.3,19.2,12.4,10.1,48.1,54.2,24.3,100.22,12.6
David Lee,SAS,34,79,58,21,18.7,110.2,99.2,11,12.6,1.51,18.4,11.8,21.1,16.7,12.1,59,61.3,16.6,98.36,12.6
Al Horford,BOS,31,68,46,22,32.3,110.7,105.8,5,23.9,2.93,25.7,4.9,18.3,11.8,8.8,52.7,55.3,19.9,98.96,12.5
JaVale McGee,GSW,29,77,62,15,9.6,121.4,102.7,18.7,3.2,0.43,4,15.6,18.7,17.3,9.4,65.2,64.2,22.6,105.1,12.5
CJ McCollum,POR,25,80,40,40,34.9,109,107.9,1.2,17.5,1.66,14.1,2.4,9,5.7,8.5,54.4,58.5,27.4,99.29,12.5
Rudy Gay,SAC,30,30,11,19,33.8,106.5,104.8,1.7,14,1.12,12.6,3.9,17.6,10.7,11.2,50.2,55.9,25.1,98.07,12.5
Dirk Nowitzki,DAL,39,54,23,31,26.4,104.8,106.5,-1.7,9.9,1.61,9.5,1.8,26.7,14,5.9,49.5,52.9,25.5,96.06,12.4
Brook Lopez,BKN,29,75,20,55,29.6,103.4,107.6,-4.2,14.3,0.96,10.4,5.8,13,9.5,10.9,53.1,57.8,29,104.03,12.4
Jeremy Lamb,CHA,25,62,27,35,18.4,107.6,108.7,-1.1,11.3,1.88,11.3,2.9,22.4,12.7,6,50.2,55,23.5,95.9,12.4
Kenneth Faried,DEN,27,61,29,32,21.2,109,112.1,-3.1,6.4,0.93,9,15.7,24.3,20,9.6,54.8,58.8,18.1,100.81,12.4
Dewayne Dedmon,SAS,27,76,55,21,17.5,105.9,97.5,8.4,4.9,0.72,10.9,11.4,30.2,21.2,15.1,62.2,64.5,12.2,95.97,12.4
David West,GSW,36,68,56,12,12.6,107.7,98.6,9.1,26,1.94,29.9,6.9,19.2,13.6,15.4,54.2,57.1,19.4,96.84,12.3
Brandon Bass,LAC,32,52,29,23,11.1,103.7,116.7,-13,6.3,0.72,7.6,8.6,16.5,12.6,10.6,57.8,65,20,96.53,12.2
LaMarcus Aldridge,SAS,31,72,52,20,32.4,109.1,103,6.1,10,1.42,9.9,8.4,17.1,12.8,7,48.8,53.2,24.9,94.47,12.2
Jabari Parker,MIL,22,51,22,29,33.9,106.8,109.3,-2.5,13.7,1.53,12.4,5.3,15.1,10.3,8.1,53,56.3,26,98.47,12.1
Dwyane Wade,CHI,35,60,29,31,29.9,103.1,105.5,-2.4,22.1,1.65,15.8,3.7,12.5,8,9.6,45.7,50.8,29.3,98.2,12.1
Jrue Holiday,NOP,27,67,32,35,32.7,103.7,102.8,0.9,35.5,2.52,29.6,2.2,10.3,6.3,11.8,51,53.2,23.5,100.12,12.1
Jarnell Stokes,DEN,23,2,0,2,3.3,115.3,118.3,-3.1,40,0,51.5,11.1,14.3,12.5,0,100,79.8,11.1,100.5,12.1
James Johnson,MIA,30,76,40,36,27.4,104.9,102.3,2.6,21,1.61,21.1,3.5,16.3,9.9,13,53.5,56.4,21.9,98.7,12
Nick Collison,OKC,36,20,10,10,6.4,86.8,104.1,-17.2,17.1,3,28.2,6.8,18.6,12.4,9.4,60.9,62.2,10.1,97.52,12
Bradley Beal,WAS,24,77,48,29,34.9,112.1,106.5,5.6,15.4,1.71,14.1,2.2,7.8,5,8.2,56.6,60.4,26.3,100.11,11.9
Carmelo Anthony,NYK,33,74,29,45,34.3,106.1,111.1,-5,14.1,1.39,11.1,2.6,16,9.2,8,48.8,53.5,29,98.48,11.8
Nicolas Batum,CHA,28,77,35,42,34,107.4,106.2,1.3,27.3,2.35,26.1,1.9,18.4,10.1,11.1,47.2,52.9,22.1,98.76,11.8
Tyreke Evans,SAC,27,40,17,23,19.7,97.5,106.2,-8.6,28.1,2.03,20.8,1.7,17.8,9.5,10.2,46.2,50.1,27,98.53,11.8
Dennis Schroder,ATL,23,79,42,37,31.5,103.4,105.4,-2,34,1.93,24,1.9,8.8,5.4,12.4,49.3,53.3,27.6,100.32,11.7
Draymond Green,GSW,27,76,62,14,32.5,115.2,99.3,15.9,27.2,2.9,36.5,4.6,20.5,13.2,12.6,48.1,52.2,16,103.34,11.7
Jusuf Nurkic,POR,22,65,34,31,21.4,104.4,106.5,-2.1,14.2,0.86,13.8,12.4,23.6,18.2,16,50.7,52.8,23.5,100.65,11.7
Elfrid Payton,ORL,23,82,29,53,29.4,104.7,107.5,-2.7,32.9,2.97,30.9,3.9,13.6,8.6,10.4,49.3,52,21.3,100.23,11.7
Richaun Holmes,PHI,23,57,16,41,20.9,102.4,110,-7.6,8.1,1.05,10.2,8.7,19.8,14.3,9.6,59.1,61.1,18.8,100.79,11.6
Michael Beasley,MIL,28,56,23,33,16.7,106.9,108.5,-1.6,9.6,0.8,9.3,5.1,18.6,12,11.6,55.4,58.4,24.8,97.91,11.6
Brandan Wright,MEM,29,28,14,14,16,106.1,102.3,3.9,6,1.5,8.6,7.8,11.5,9.7,5.7,61.5,62.8,16.6,93.54,11.6
Ricky Rubio,MIN,26,75,28,47,32.9,108.9,109.9,-1,38.5,3.5,41.3,3.2,11.2,7.2,11.8,44.8,53.9,17.4,97.07,11.4
Marreese Speights,LAC,29,82,51,31,15.7,106,108.4,-2.4,8.5,0.94,8.8,7.7,24.5,16.1,9.3,53.9,58.4,23.9,97.43,11.4
Danilo Gallinari,DEN,28,63,31,32,33.9,112.1,109.4,2.7,9,1.65,11.9,2.1,14.4,8.4,7.2,53.1,62.2,20,100.53,11.4
Thomas Robinson,LAL,26,48,15,33,11.7,103.6,111.2,-7.5,8.8,0.67,10.3,15.8,30.4,22.5,15.2,53.6,53.5,20.6,99.31,11.4
Tobias Harris,DET,24,82,37,45,31.3,104.3,105.5,-1.3,8.7,1.48,10.1,2.6,15.5,8.9,6.9,53.2,56.8,21.8,97.41,11.3
Julius Randle,LAL,22,74,24,50,28.8,103.1,113.3,-10.2,19.5,1.53,19.8,7.4,25.4,16.1,13,49.9,54.3,21.5,100.9,11.3
Cheick Diallo,NOP,20,17,9,8,11.7,101.5,110.9,-9.4,3.1,0.57,4.2,11.5,28.6,19.5,7.3,47.4,51,20.3,101.07,11.3
Harrison Barnes,DAL,25,79,32,47,35.5,103.6,105.7,-2.1,7.6,1.14,7.2,3.7,13.2,8.2,6.3,49.8,54.1,25.5,93.9,11.2
Derrick Rose,NYK,28,64,26,38,32.5,107.3,111.1,-3.9,21.6,1.93,18.6,3.4,9.2,6.3,9.7,47.7,53,25.6,99.19,11.2
Mason Plumlee,DEN,27,81,38,43,26.5,111.2,111.3,0,18.7,2.12,24.2,9,22.2,15.7,11.4,53.6,55.8,18.1,99.06,11.2
Myles Turner,IND,21,81,42,39,31.4,108.3,105.1,3.2,6.5,1.01,8.7,6.4,19.2,13.1,8.7,53.4,58.5,19.7,98.5,11.2
Kelly Olynyk,BOS,26,75,49,26,20.5,103.7,104.2,-0.4,15.9,1.54,18.4,5.3,20.7,13.1,11.9,57.9,60.3,18.8,99.85,11
Terrence Jones,MIL,25,54,20,34,23.5,103.1,104.8,-1.7,7.5,1.23,8.8,5.3,20.3,12.6,7.1,48.9,51.5,21.6,99.53,11
Nene,HOU,34,67,47,20,17.9,109.4,102.8,6.6,8.8,0.89,10.5,8.5,17,12.7,11.7,62.1,63,19.3,104.55,11
Bobby Portis,CHI,22,64,30,34,15.6,101.7,106,-4.3,5.9,0.95,7.4,7.8,24.2,15.8,7.8,53.1,54.5,19.3,97.38,11
Marcin Gortat,WAS,33,82,49,33,31.2,110.2,107.4,2.8,6.5,1.02,12.3,10.4,26.9,18.6,12.1,57.9,59.3,14.7,99.85,10.9
Otto Porter Jr.,WAS,24,80,48,32,32.6,110.3,107.2,3.1,6.6,2.75,11.9,5,17.2,11.1,4.3,60.8,62.8,14.9,100.48,10.9
Spencer Hawes,MIL,29,54,27,27,14.8,99,109.2,-10.2,17.4,1.65,18.8,5.2,21.5,13.3,11.4,52.9,56.2,19.7,100.06,10.9
Klay Thompson,GSW,27,78,66,12,34,115.6,100.9,14.7,9,1.25,9.1,2.2,9.1,6,7.3,56.5,59.2,26.2,102.15,10.9
Montrezl Harrell,HOU,23,58,39,19,18.3,112.3,108.8,3.5,9.7,1.45,12.6,8.4,13.7,11.1,8.7,65.4,66.2,17.6,102.52,10.8
Willie Reed,MIA,27,71,39,32,14.5,104.4,101.8,2.6,4,0.84,6.8,13.5,22.3,17.8,8.1,57,57.8,15.3,98.26,10.8
Brice Johnson,LAC,23,3,1,2,3.1,123.9,78.9,44.9,16.7,1,11.1,14.3,22.2,18.8,11.1,28.6,28.6,38.5,95.72,10.8
Tyler Johnson,MIA,25,73,35,38,29.8,104,103.5,0.5,17,2.59,18.5,2.5,12.5,7.4,7.1,49,53.5,20.7,98.21,10.8
Derrick Favors,UTA,25,50,33,17,23.7,105.1,102.3,2.8,7.9,0.93,9.6,9.2,20.5,15,10.3,49,51.2,20.8,92.72,10.8
Ish Smith,DET,28,81,37,44,24.1,104.8,104.2,0.6,31.9,3.73,31.6,1.1,12.1,6.5,8.5,45.8,47.7,20.4,97.62,10.7
T.J. McConnell,PHI,25,81,27,54,26.3,100.5,106.7,-6.2,37.4,3.36,42.9,2,10.9,6.5,12.8,47.2,50.4,14.4,102.22,10.7
Dwight Powell,DAL,25,77,30,47,17.3,104.2,110.6,-6.4,6.2,1.44,9.4,7.7,20.2,13.5,6.5,54.2,58.8,16.6,93.78,10.7
Ersan Ilyasova,ATL,30,82,35,47,26.1,102.8,103.7,-0.9,10.7,1.22,11.4,5.9,18.4,12.2,9.4,51.1,54.6,22,101.47,10.6
Tiago Splitter,PHI,32,8,1,7,9.5,106.6,110.1,-3.5,8.9,0.67,8.7,10,22.6,15.5,13.1,48.4,54.4,22.2,99.11,10.6
Rajon Rondo,CHI,31,69,34,35,26.7,104.2,106.3,-2.1,36.1,2.73,38,4.3,16.7,10.5,13.9,45.3,46.1,17.7,97.96,10.6
Ty Lawson,SAC,29,69,25,44,25.1,104.4,108.7,-4.2,30,2.59,30.9,2.9,8.7,5.9,11.9,48.7,55.1,19.3,98.33,10.6
Willie Cauley-Stein,SAC,23,75,29,46,18.9,102.5,108.8,-6.3,9.3,1.16,11.5,6.9,20,13.5,9.9,53,55.8,19.9,96.91,10.6
Serge Ibaka,TOR,27,79,37,42,30.7,104.6,107.2,-2.7,5,0.71,6.2,5.9,18.8,12.4,8.6,54.3,56.6,21.1,97.87,10.6
Kristaps Porzingis,NYK,21,66,26,40,32.8,104.6,107.7,-3.1,7.3,0.82,7.4,5.6,17.7,11.7,9,50.7,54.6,24.4,99.15,10.6
Skal Labissiere,SAC,21,33,9,24,18.5,104.3,107.2,-2.9,7.1,0.73,8.6,9.5,19.4,14.6,11.8,54.4,57.7,21.2,97.78,10.6
Delon Wright,TOR,25,27,19,8,16.5,104.9,96.2,8.8,20.4,2.28,25.7,4.2,8.4,6.3,11.3,46.6,53.5,16.7,94.48,10.5
Kris Humphries,ATL,32,56,31,25,12.3,97.3,101.7,-4.4,7,1.04,9.4,9.5,24.5,16.8,9.1,45.1,51.4,18,98.12,10.5
Khris Middleton,MIL,25,29,19,10,30.7,109.7,104,5.7,17.5,1.52,18.4,1.5,15.3,8.5,12.1,51.8,57,23.2,94.63,10.4
Nikola Mirotic,CHI,26,70,37,33,24,107.7,103,4.7,6.9,0.94,9,4,20.8,12.5,9.6,51.6,54.6,19.8,97.95,10.4
Tim Hardaway Jr.,ATL,25,79,42,37,27.3,106.2,103.1,3.1,13.7,1.72,14.1,1.9,9.4,5.8,8.2,53.7,56.8,22.3,100.66,10.4
Pierre Jackson,DAL,25,8,4,4,10.6,117.9,86.3,31.7,32.2,6.33,29.7,1.1,11.1,5.6,4.7,37.2,41.6,23.2,97.72,10.4
Dario Saric,PHI,23,81,28,53,26.3,99.7,106.9,-7.2,14.5,0.99,13.1,5.9,20.7,13.3,13.2,46.8,50.8,24.4,101.53,10.3
Seth Curry,DAL,26,70,30,40,29,104.9,105.6,-0.7,15.9,2.05,18.4,1.4,9.5,5.2,8.9,57.8,60.1,19.7,93.53,10.3
Jae Crowder,BOS,26,72,48,24,32.4,112.3,104.5,7.8,9.7,1.94,14.8,2.4,17.1,9.9,7.6,57.2,61.3,17,99.94,10.3
Will Barton,DEN,26,60,31,29,28.4,107.7,110.6,-2.9,18.5,2.12,19.6,3.7,13.2,8.4,9.2,50.8,54.7,21.1,100.14,10.2
Andre Iguodala,GSW,33,76,64,12,26.3,114.3,101,13.4,16.9,4.5,33.5,3,13.1,8.4,7.4,60.5,62.4,11.3,101.92,10.2
John Jenkins,PHX,26,4,0,4,3.2,130.8,109.2,21.6,8.3,0,14.5,0,11.1,4.5,0,50,59.5,18.2,100.06,10.2
Jordan Crawford,NOP,28,19,9,10,23.3,112.7,112.5,0.2,19.2,2.28,18.3,1,7.7,4.4,8,56.7,58.2,25.9,98.47,10.2
Channing Frye,CLE,34,74,44,30,18.9,110.1,109,1,5,0.85,6.9,3.1,19,11.4,8.1,58.9,61.2,19.6,98.14,10.1
Larry Nance Jr.,LAL,24,63,21,42,22.9,103.3,108.3,-5,9.6,1.71,17.5,8.9,20.4,14.4,10.2,54,56.7,13.4,101,10.1
Deron Williams,CLE,33,64,25,39,25.9,104.7,107.5,-2.8,35,2.61,31.4,0.9,9.6,5.1,12,50.9,54.1,22.4,94.28,10
Ivica Zubac,LAL,20,38,8,30,16,103.6,112.9,-9.3,7.8,1,9.4,7.2,21,14,9.4,52.9,54.7,20.4,102.85,10
Dion Waiters,MIA,25,46,27,19,30.1,106.5,103.8,2.8,23.4,1.94,19.6,1.5,10.7,6.1,10.1,48.8,50.7,26.4,98.03,10
Zaza Pachulia,GSW,33,70,58,12,18.1,115.8,100,15.8,13.1,1.52,22.7,13,22.5,18,15,53.4,58.8,15.1,102.91,10
Darren Collison,SAC,29,68,26,42,30.3,106.1,110.4,-4.2,24.3,2.74,25.7,1.3,7.4,4.3,9.4,52.7,57,20,96.23,10
Patty Mills,SAS,28,80,60,20,21.9,111.9,99.9,12,23.6,2.77,27,1.5,7.4,4.5,9.7,55.8,57.8,18.9,98.97,10
Cristiano Felicio,CHI,24,66,31,35,15.8,102.9,103,-0.1,6.1,1.21,11.9,13.1,19.9,16.5,9.9,57.9,60.3,12.6,97.27,10
Jon Leuer,DET,28,75,34,41,25.9,101.8,104.1,-2.3,8.8,1.68,12.7,5.5,17.4,11.2,7.6,51.8,55.1,17.3,97.11,10
Salah Mejri,DAL,31,73,29,44,12.4,102.5,102.3,0.2,2.5,0.35,6.4,12.2,28.7,20.1,18.4,64.6,65,10.7,92.48,9.9
D'Angelo Russell,LAL,21,63,21,42,28.7,104.7,113.4,-8.7,26.9,1.72,21.2,1.8,12,6.6,12.3,48.3,51.8,26.7,100.87,9.9
Avery Bradley,BOS,26,55,34,21,33.4,108.7,107.5,1.2,10.7,1.39,11.9,4,16.1,10.1,8.6,53.3,54.8,21.8,99.23,9.9
Sean Kilpatrick,BKN,27,70,14,56,25.1,102.3,108.7,-6.4,14.7,1.16,13.9,1.4,15.3,8.5,11.9,48.6,54.6,23.7,103.54,9.9
Kyle Anderson,SAS,23,72,53,19,14.2,107.2,96.7,10.5,12.6,2.33,25,3.8,18.7,11.5,10.7,48.1,52.5,12.2,96.6,9.8
Malcolm Brogdon,MIL,24,75,38,37,26.4,109.2,106.5,2.7,23.9,2.81,28.3,2.8,9.7,6.3,10.1,51.8,55.5,18.6,96.37,9.8
Wilson Chandler,DEN,30,71,35,36,30.9,110.1,111.8,-1.7,9.7,1.24,11,5.2,17.8,11.5,8.9,52,54.5,22.1,100.43,9.8
Rondae Hollis-Jefferson,BKN,22,78,19,59,22.6,101.9,106.6,-4.7,13.5,1.33,16.7,5.8,21,13.5,12.6,44.7,51.7,18.7,104.94,9.8
Steven Adams,OKC,23,80,47,33,29.9,106.6,103.9,2.8,5.4,0.59,8.6,12.8,15.1,14,14.6,57.1,58.9,16,101.16,9.7
Taj Gibson,OKC,32,78,41,37,25.5,104.9,104.6,0.3,5.7,0.7,7.6,8.4,18.1,13.2,11,51.7,54.3,19,98.39,9.7
Jerryd Bayless,PHI,28,3,1,2,23.8,93.3,106.3,-12.9,36.1,1.44,22.3,4.7,12.7,8.9,15.4,37.5,45.3,28.4,97.84,9.7
Mike Muscala,ATL,25,70,36,34,17.7,102,105.1,-3.1,12.1,1.73,18.4,6.9,15,10.9,10.7,57.3,59.6,14.9,99.78,9.7
Thaddeus Young,IND,29,74,40,34,30.2,107.2,104.7,2.5,8.2,1.28,13,6.7,15.2,11.1,10.1,56,56.2,16.5,98.97,9.7
Jahlil Okafor,PHI,21,50,15,35,22.7,95.1,109.5,-14.5,9.7,0.64,8.4,7.5,16.3,11.7,13.2,51.4,54.6,24.7,98.93,9.7
Tyus Jones,MIN,21,60,23,37,12.9,110.7,108.2,2.5,27.6,4.11,39.6,1.5,8.9,5.1,9.6,48.6,52.3,13.5,97.51,9.6
Marvin Williams,CHA,31,76,32,44,30.2,105.9,106.4,-0.5,7.2,1.77,11.3,4.2,20.2,12,6.4,51,55.1,16.3,97.82,9.6
Jeff Withey,UTA,27,51,33,18,8.5,107.8,108,-0.2,2.5,0.5,4.8,13.5,18,15.8,9.6,53.4,58.8,14.5,95.93,9.6
Cody Zeller,CHA,24,62,33,29,27.8,108.4,102.9,5.4,8.7,1.52,14.3,8.5,17.6,13,9.4,57.1,60.4,15.4,97.57,9.6
