NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
"Shelvin Mack, PG",UTAH,55,21.9,-1.51,-1.28,-2.79,0.25
"Miles Plumlee, C",MIL/CHA,45,10.8,-2.79,0.52,-2.27,0.25
"Dante Exum, PG",UTAH,66,18.6,-2.14,-0.65,-2.79,0.25
"Adreian Payne, PF",MIN,18,7.5,-1.69,1.36,-0.33,0.24
"James Jones, SG",CLE,48,7.9,-0.91,-1.27,-2.18,0.23
"Rodney Stuckey, PG",IND,39,17.8,-1.66,-0.91,-2.57,0.23
"Omri Casspi, SF",NO/MIN/SAC,36,17.9,-2.35,0.05,-2.3,0.22
"Marshall Plumlee, C",NY,21,8.1,-1.75,0.65,-1.1,0.22
"Monta Ellis, SG",IND,74,27,-1.32,-1.64,-2.96,0.21
"Pat Connaughton, SG",POR,39,8.1,-1.28,-0.79,-2.07,0.21
"Chris Andersen, PF",CLE,12,9.5,-1.4,1.02,-0.38,0.2
"Chasson Randle, PG",NY/PHI,26,11.5,-0.74,-1.36,-2.1,0.2
"Rakeem Christmas, PF",IND,29,7.6,-2.2,0.5,-1.7,0.2
"Kyle Singler, SF",OKC,32,12,-3.25,0.9,-2.35,0.19
"Anthony Bennett, PF",BKN,23,11.5,-0.76,-1.29,-2.05,0.19
"Malcolm Delaney, G",ATL,73,17.1,-2.64,-0.25,-2.89,0.18
"Malik Beasley, SG",DEN,22,7.5,-1.74,0.21,-1.53,0.18
"Nick Collison, PF",OKC,20,6.4,-2.18,1.12,-1.06,0.17
"Brandon Bass, PF",LAC,52,11.1,-1.06,-1.59,-2.65,0.17
"Joel Anthony, C",SA,19,6.4,-2.41,1.44,-0.97,0.17
"Ian Clark, SG",GS,77,14.8,-1.08,-1.82,-2.9,0.17
"Zach LaVine, PG",MIN,47,37.2,-0.62,-2.35,-2.97,0.17
"Mike Miller, SG",DEN,20,7.6,-1.93,0.35,-1.58,0.16
"AJ Hammons, C",DAL,22,7.4,-2.77,1.27,-1.5,0.16
"Sheldon Mac, SG",WSH,30,9.6,-2.25,-0.08,-2.33,0.14
"James Young, SG",BOS,29,7.6,-1.88,-0.28,-2.16,0.14
"Gerald Green, SF",BOS,47,11.4,-1.27,-1.47,-2.74,0.13
"Christian Wood, PF",CHA,13,8.2,-2.06,0.97,-1.09,0.13
"Jose Calderon, PG",ATL/LAL,41,13.1,-2.4,-0.36,-2.76,0.12
"Metta World Peace, SF",LAL,25,6.4,-2.61,0.53,-2.08,0.11
"Treveon Graham, SG",CHA,27,7,-2.19,0.02,-2.17,0.11
"Noah Vonleh, PF",POR,74,17.1,-4.02,1.03,-2.99,0.11
"Anderson Varejao, C",GS,14,6.6,-1.74,0.65,-1.09,0.1
"Jared Sullinger, C",TOR,11,10.7,-2.7,0.9,-1.8,0.1
"Henry Ellenson, F",DET,19,7.7,-2.32,0.38,-1.94,0.1
"Udonis Haslem, PF",MIA,16,8.1,-2.79,0.73,-2.06,0.09
"Tiago Splitter, C",PHI,8,9.5,-1.97,0.69,-1.28,0.09
"Chris McCullough, PF",BKN/WSH,16,5,-1.58,0.18,-1.4,0.09
"Malachi Richardson, SG",SAC,22,9,-2.29,-0.14,-2.43,0.09
"Leandro Barbosa, SG",PHX,67,14.4,-1.5,-1.5,-3,0.08
"Alonzo Gee, SF",DEN,13,6.8,-2.11,0.43,-1.68,0.08
"Ryan Kelly, PF",ATL,16,6.9,-1.94,1.45,-0.49,0.08
"Anthony Brown, SF",NO/ORL,11,14.5,-1.42,-0.34,-1.76,0.08
"Johnny O'Bryant III, PF",DEN/CHA,11,7.3,-1.92,0.3,-1.62,0.08
"Georgios Papagiannis, C",SAC,22,16.1,-2.47,-0.3,-2.77,0.08
"Joel Bolomboy, PF",UTAH,12,4.4,-1.95,1.03,-0.92,0.07
"Alex Poythress, SF",PHI,6,26.2,-1.91,-0.47,-2.38,0.07
"Maurice Ndour, SF",NY,32,10.3,-1.94,-0.37,-2.31,0.07
"Damian Jones, F",GS,10,8.5,-2.58,0.8,-1.78,0.07
"Dejounte Murray, G",SA,38,8.5,-1.97,-0.83,-2.8,0.07
"Spencer Hawes, PF",MIL/CHA,54,14.8,-2.13,-0.87,-3,0.06
