PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK,CFID,CFPARAMS,WIKIPEDIA_HANDLE,TWITTER_HANDLE,SALARY_MILLIONS,PTS,ACTIVE_TWITTER_LAST_YEAR,TWITTER_FOLLOWER_COUNT_MILLIONS
1626157,Karl-Anthony Towns,1610612750,MIN,21,82,31,51,0.378,37,109.9,110.8,-0.9,0.127,1.04,10.5,0.114,0.277,0.195,10.1,0.576,0.618,0.274,97.1,0.171,802,1480,9.8,18,0.542,1,196,463,353,6,71,421,233,204,333,344,48,23,22,233,57,36,35,333,13,2,7,4,16,52,5,"16,261,571,610,612,700",Karl-Anthony_Towns,karltowns,5.7,25.1,1,0.281
203999,Nikola Jokic,1610612743,DEN,22,73,37,36,0.507,27.9,114.9,109.8,5.1,0.266,2.1,24.2,0.119,0.272,0.197,11.5,0.605,0.64,0.234,100.76,0.167,494,854,6.8,11.7,0.578,145,129,341,209,111,17,400,68,48,108,83,43,25,21,318,28,19,83,92,14,34,68,40,71,28,5,"2,039,991,610,612,740",Nikola_Jokić,jokicnikola15,1.3,16.7,1,0.009
202710,Jimmy Butler,1610612741,CHI,27,76,40,36,0.526,37,106.4,103.4,3,0.243,2.62,19.6,0.05,0.131,0.09,7.5,0.492,0.586,0.265,97.78,0.164,570,1252,7.5,16.5,0.455,97,92,341,177,5,166,114,103,61,51,136,188,266,234,84,281,95,41,283,15,24,24,27,23,193,5,"2,027,101,610,612,740",Jimmy_Butler_(basketball),jimmybutler,16.4,23.9,1,0.469
202355,Hassan Whiteside,1610612748,MIA,28,77,39,38,0.506,32.6,106.6,105.3,1.3,0.037,0.37,4.2,0.129,0.349,0.239,11.5,0.557,0.579,0.226,97.11,0.163,542,973,7,12.6,0.557,85,109,367,213,50,159,192,154,455,461,471,32,4,4,316,82,115,92,330,16,29,44,34,61,38,5,"2,023,551,610,612,740",Hassan_Whiteside,youngwhiteside,22.12,17,1,0.164
203497,Rudy Gobert,1610612762,UTA,25,81,51,30,0.63,33.9,108.7,100.6,8.1,0.057,0.66,9,0.138,0.288,0.217,13.6,0.661,0.681,0.167,93.11,0.161,413,625,5.1,7.7,0.661,18,21,266,93,34,99,46,39,403,426,398,18,18,10,412,9,7,294,471,17,55,126,82,166,8,5,"2,034,971,610,612,760",Rudy_Gobert,rudygobert27,2.1,14,1,0.195
202738,Isaiah Thomas,1610612738,BOS,28,76,51,25,0.671,33.8,113.6,108.6,5,0.305,2.13,18.5,0.019,0.07,0.045,8.7,0.546,0.625,0.337,99.84,0.161,682,1473,9,19.4,0.463,97,21,207,55,35,26,357,69,30,97,159,360,468,454,148,99,28,8,143,18,8,8,8,7,173,5,"2,027,381,610,612,730",Isaiah_Thomas_(basketball),isaiah_thomas,6.58,28.9,1,0.639
201144,Mike Conley,1610612763,MEM,29,69,35,34,0.507,33.2,108.6,105.5,3.1,0.329,2.78,24.6,0.015,0.108,0.061,8.9,0.545,0.604,0.263,94.64,0.16,464,1009,6.7,14.6,0.46,183,151,315,206,43,101,202,101,22,37,75,398,349,377,157,101,53,44,434,19,40,37,41,40,181,5,"2,011,441,610,612,760",Mike_Conley_Jr.,mconley11,26.54,20.5,1,0.342
203081,Damian Lillard,1610612757,POR,26,75,38,37,0.507,35.9,110.1,108.9,1.2,0.277,2.23,18.6,0.018,0.134,0.075,8.3,0.516,0.586,0.309,99.68,0.159,661,1488,8.8,19.8,0.444,111,120,352,211,10,67,370,157,41,85,158,372,257,294,126,193,97,12,151,20,12,6,10,5,234,5,"2,030,811,610,612,750",Damian_Lillard,Dame_Lillard,24.33,27,1,1.34
202330,Gordon Hayward,1610612762,UTA,27,73,46,27,0.63,34.5,109.5,102.4,7.1,0.179,1.8,14.5,0.023,0.152,0.09,8.1,0.536,0.595,0.276,93.44,0.158,545,1156,7.5,15.8,0.471,145,62,221,92,23,79,80,49,124,160,235,314,207,235,109,123,74,33,465,21,28,28,28,28,152,5,"2,023,301,610,612,760",Gordon_Hayward,gordonhayward,15.41,21.9,1,0.252
201942,DeMar DeRozan,1610612761,TOR,27,74,47,27,0.635,35.4,110.2,107,3.3,0.204,1.61,12.6,0.03,0.134,0.083,7.8,0.477,0.552,0.342,97.69,0.155,721,1545,9.7,20.9,0.467,126,52,221,86,14,64,278,93,91,207,288,261,256,266,101,335,187,6,289,22,5,3,5,2,165,5,"2,019,421,610,612,760",DeMar_DeRozan,DeMar_DeRozan,26.54,27.3,1,0.58
1627762,Joel Bolomboy,1610612762,UTA,23,12,8,4,0.667,4.4,106.3,95,11.3,0.065,1,8.8,0.083,0.255,0.172,8.8,0.594,0.59,0.18,95.32,0.154,9,16,0.8,1.3,0.563,440,408,34,56,468,168,14,21,377,342,406,104,34,47,154,32,84,252,423,23,440,448,442,467,34,5,"16,277,621,610,612,700",Joel_Bolomboy,bolomboy21,0.6,1.8,1,0.009
202683,Enes Kanter,1610612760,OKC,25,72,43,29,0.597,21.3,107.8,107.9,-0.1,0.078,0.54,6.4,0.147,0.21,0.179,11.7,0.549,0.599,0.275,99.17,0.154,402,737,5.6,10.2,0.545,158,76,250,125,211,117,324,199,327,443,453,12,78,35,326,96,69,34,178,24,63,89,63,100,47,5,"2,026,831,610,612,760",Enes_Kanter,enes_kanter,17.15,14.3,1,0.489
202322,John Wall,1610612764,WAS,26,78,48,30,0.615,36.4,111.2,107.3,3.9,0.45,2.58,29.5,0.023,0.105,0.064,11.4,0.482,0.541,0.302,101.07,0.153,647,1435,8.3,18.4,0.451,69,47,266,108,8,49,297,80,3,57,37,310,361,349,312,319,228,13,79,25,14,12,16,11,213,5,"2,023,221,610,612,760",John_Wall_(basketball),johnwall,16.96,23.1,1,1.81
201933,Blake Griffin,1610612746,LAC,28,61,40,21,0.656,34,115.2,104.6,10.6,0.235,2.11,18.8,0.064,0.204,0.137,8.9,0.513,0.569,0.278,98.71,0.152,479,971,7.9,15.9,0.493,253,92,172,68,28,15,162,24,69,103,148,144,90,105,159,207,137,30,208,26,37,46,23,26,113,5,"2,019,331,610,612,740",Blake_Griffin,blakegriffin32,20,21.6,1,4.19
2216,Zach Randolph,1610612763,MEM,35,73,38,35,0.521,24.5,104.1,105.2,-1.1,0.131,1.23,9.6,0.113,0.28,0.193,7.8,0.46,0.49,0.285,94.36,0.152,433,964,5.9,13.2,0.449,145,120,330,186,170,274,190,238,193,301,370,50,21,26,99,373,387,24,445,27,45,47,59,54,220,5,"22,161,610,612,763",Zach_Randolph,MacBo50,10.36,14.1,1,0.192
2730,Dwight Howard,1610612737,ATL,31,74,37,37,0.5,29.7,101.1,103.1,-2,0.076,0.61,9.7,0.153,0.31,0.234,15.8,0.633,0.627,0.191,99.8,0.151,388,613,5.2,8.3,0.633,126,129,352,214,90,386,109,267,333,434,366,10,9,7,451,16,27,203,146,28,71,134,78,148,14,5,"27,301,610,612,737",Dwight_Howard,dwighthoward,23.18,13.5,1,6.97
201939,Stephen Curry,1610612744,GSW,29,79,65,14,0.823,33.4,118.1,100.9,17.2,0.287,2.19,22.2,0.027,0.113,0.073,10.1,0.58,0.624,0.292,105.08,0.151,675,1443,8.5,18.3,0.468,54,2,102,13,39,6,52,7,36,88,109,284,333,308,234,51,30,18,8,29,9,10,14,14,162,5,"2,019,391,610,612,740",Stephen_Curry,stephencurry30,12.11,25.3,1,9.56
201188,Marc Gasol,1610612763,MEM,32,74,40,34,0.541,34.2,106.5,105.1,1.4,0.246,2.04,18.7,0.027,0.19,0.106,9.2,0.503,0.554,0.267,94.43,0.151,532,1160,7.2,15.7,0.459,126,92,315,162,26,163,187,150,59,115,152,287,123,189,175,239,180,40,442,30,31,27,31,30,184,5,"2,011,881,610,612,760",Marc_Gasol,marcgasol,19.69,19.5,1,1.1
201599,DeAndre Jordan,1610612746,LAC,28,81,51,30,0.63,31.7,113.4,103.7,9.7,0.054,0.83,9.8,0.136,0.343,0.243,11.8,0.714,0.673,0.153,98.43,0.15,412,577,5.1,7.1,0.714,18,21,266,93,61,28,127,29,411,395,363,22,5,3,333,5,8,346,227,31,56,142,84,186,5,5,"2,015,991,610,612,740",DeAndre_Jordan,deandre,21.17,12.7,1,0.984
201567,Kevin Love,1610612739,CLE,28,60,40,20,0.667,31.4,113.2,106,7.2,0.093,0.95,9.4,0.087,0.295,0.193,9.9,0.51,0.573,0.255,99.66,0.148,370,867,6.2,14.5,0.427,261,92,161,56,66,31,232,48,278,368,378,90,15,27,219,216,129,55,152,32,81,65,49,42,286,5,"2,015,671,610,612,730",Kevin_Love,kevinlove,21.17,19,1,2.55
200768,Kyle Lowry,1610612761,TOR,31,60,36,24,0.6,37.4,112.8,104.6,8.2,0.293,2.41,25,0.024,0.121,0.073,10.4,0.569,0.623,0.249,96.85,0.147,426,918,7.1,15.3,0.464,261,140,198,119,2,33,165,38,35,63,74,302,307,314,253,66,31,62,353,33,50,54,33,35,170,5,"2,007,681,610,612,760",Kyle_Lowry,klow7,12,22.4,1,0.589
2200,Pau Gasol,1610612759,SAS,36,64,47,17,0.734,25.4,110.7,104,6.8,0.143,1.85,16.4,0.077,0.271,0.176,8.8,0.548,0.578,0.216,95.48,0.143,303,604,4.7,9.4,0.502,231,52,128,31,155,57,137,50,170,152,200,120,26,39,155,98,118,121,417,34,112,136,100,115,101,5,"22,001,610,612,759",Pau_Gasol,paugasol,7.45,12.4,1,6.38
202696,Nikola Vucevic,1610612753,ORL,26,75,27,48,0.36,28.8,102.5,106.1,-3.6,0.157,1.78,14.6,0.086,0.306,0.193,8.2,0.48,0.498,0.243,100.74,0.142,483,1031,6.4,13.7,0.468,111,243,453,381,103,339,237,320,152,163,233,95,10,24,118,326,373,71,93,35,35,34,46,49,158,5,"2,026,961,610,612,750",Nikola_Vučević,nikolavucevic,12,14.6,1,0.038
202339,Eric Bledsoe,1610612756,PHX,27,66,22,44,0.333,33,106.1,110.2,-4.1,0.309,1.87,22.3,0.025,0.139,0.08,11.9,0.485,0.563,0.28,103.09,0.141,449,1034,6.8,15.7,0.434,212,301,419,392,45,178,407,326,27,147,106,294,244,275,341,306,155,29,31,36,42,33,39,31,266,5,"2,023,391,610,612,750",Eric_Bledsoe,ebled2,14,21.1,1,0.199
202328,Greg Monroe,1610612749,MIL,27,81,42,39,0.519,22.5,110.1,106.4,3.7,0.165,1.34,16.1,0.112,0.237,0.176,12.1,0.533,0.572,0.242,96.98,0.139,387,726,4.8,9,0.533,18,82,379,189,195,69,253,84,145,273,204,52,52,40,351,136,130,73,343,37,72,94,98,128,61,5,"2,023,281,610,612,740",Greg_Monroe,m10ose,17.15,11.7,0,0.0369
204002,Edy Tavares,1610612739,CLE,25,2,1,1,0.5,13.8,108.2,93,15.2,0.071,0.5,10.7,0.16,0.241,0.204,21.5,0.8,0.633,0.137,89.74,0.138,4,5,2,2.5,0.8,477,464,1,214,350,108,10,12,353,446,337,6,50,18,473,3,22,405,482,38,457,474,317,420,2,5,"2,040,021,610,612,730",Walter_Tavares,waltertavares22,1,6,1,0.008
203962,Josh Huestis,1610612760,OKC,25,2,0,2,0,15.4,111.3,104.9,6.4,0.115,0,20.8,0.133,0.172,0.153,0,0.636,0.612,0.146,108.61,0.137,6,11,3,5.5,0.545,477,479,13,479,324,47,177,52,222,466,127,26,155,76,1,15,43,369,2,39,449,461,208,256,47,5,"2,039,621,610,612,760",Josh_Huestis,jhuestis,1.14,7,1,0.013
202689,Kemba Walker,1610612766,CHA,27,79,36,43,0.456,34.7,109,105.4,3.6,0.282,2.58,19.6,0.018,0.107,0.062,7.6,0.527,0.569,0.291,98.19,0.137,643,1449,8.1,18.3,0.444,54,140,413,274,20,89,200,86,38,56,134,377,351,371,91,165,136,19,244,40,17,9,21,13,235,5,"2,026,891,610,612,760",Kemba_Walker,kembawalker,12,23.2,1,0.336
203083,Andre Drummond,1610612765,DET,23,81,36,45,0.444,29.7,102.6,108.9,-6.3,0.06,0.59,6.9,0.146,0.373,0.252,11.6,0.531,0.518,0.224,96.5,0.136,483,911,6,11.2,0.53,18,140,431,287,89,337,373,372,396,436,447,13,2,2,323,145,312,98,376,41,35,57,57,81,63,5,"2,030,831,610,612,760",Andre_Drummond,andredrummond,22.11,13.6,1,1.22
202685,Jonas Valanciunas,1610612761,TOR,25,80,50,30,0.625,25.8,109.6,107.2,2.5,0.043,0.54,5.9,0.124,0.297,0.21,11,0.558,0.601,0.195,96.61,0.136,391,702,4.9,8.8,0.557,38,35,266,96,148,76,290,127,444,444,460,40,14,13,287,80,62,191,367,42,69,103,92,132,39,5,"2,026,851,610,612,760",Jonas_Valančiūnas,jvalanciunas,4.66,12,1,0.162
202331,Paul George,1610612754,IND,27,75,39,36,0.52,35.9,108.9,106,2.9,0.157,1.14,12.7,0.025,0.178,0.103,11.1,0.534,0.587,0.29,98.13,0.136,622,1348,8.3,18,0.461,111,109,341,187,11,95,227,106,153,315,286,298,146,198,290,133,92,20,251,43,20,18,17,18,176,5,"2,023,311,610,612,750",Paul_George,yg_trece,18.31,23.7,1,1.7
202681,Kyrie Irving,1610612739,CLE,25,72,47,25,0.653,35.1,114.2,109.1,5.1,0.278,2.32,19.3,0.023,0.075,0.05,8.3,0.535,0.58,0.302,99.12,0.135,671,1420,9.3,19.7,0.473,158,52,207,72,15,22,379,67,40,74,142,313,457,438,124,126,111,14,181,44,11,15,6,6,150,5,"2,026,811,610,612,730",Kyrie_Irving,kyrieirving,17.64,25.2,1,3.48
200826,J.J. Barea,1610612742,DAL,33,35,11,24,0.314,22,104.6,102.8,1.8,0.421,3.06,31.1,0.013,0.117,0.064,10.1,0.491,0.521,0.261,95.14,0.134,142,343,4.1,9.8,0.414,365,392,198,419,202,241,96,142,5,17,29,420,318,353,238,283,302,47,425,45,271,253,133,109,320,5,"2,008,261,610,612,740",J._J._Barea,jjbareapr,4.1,10.9,1,0.296
101150,Lou Williams,1610612745,HOU,30,81,34,47,0.42,24.6,108.7,109,-0.4,0.193,1.49,15,0.014,0.096,0.055,10,0.511,0.593,0.283,103.22,0.133,428,998,5.3,12.3,0.429,18,164,446,312,167,100,375,213,110,238,228,413,394,417,226,215,79,27,28,46,49,39,75,67,283,5,"1,011,501,610,612,740",Lou_Williams,teamlou23,7,14.9,1,0.163
2744,Al Jefferson,1610612754,IND,32,66,33,33,0.5,14.1,102.3,108.1,-5.8,0.114,1.73,9.5,0.086,0.251,0.165,5.5,0.499,0.526,0.26,96.89,0.133,235,471,3.6,7.1,0.499,212,177,305,214,347,349,331,364,223,173,374,92,39,59,27,255,286,48,347,47,162,186,166,185,109,5,"27,441,610,612,754",Al_Jefferson,0,9.56,8.1,0,0
1626195,Willy Hernangomez,1610612752,NYK,23,72,27,45,0.375,18.4,104.8,107.6,-2.8,0.116,0.96,13.4,0.142,0.263,0.204,14,0.533,0.564,0.202,99.12,0.133,246,465,3.4,6.5,0.529,158,243,431,361,259,227,309,289,221,366,268,16,30,17,420,134,150,158,180,48,153,189,175,213,67,5,"16,261,951,610,612,700",Willy_Hernangómez,willyhg94,1.35,8.2,1,0.055
203124,Kyle O'Quinn,1610612752,NYK,27,79,29,50,0.367,15.6,102.1,108.9,-6.8,0.149,1.54,18.2,0.138,0.25,0.193,11.8,0.523,0.552,0.186,97.82,0.132,215,413,2.7,5.2,0.521,54,215,460,373,319,360,369,383,161,222,175,19,43,25,337,173,188,232,278,49,184,217,231,276,78,5,"2,031,241,610,612,750",Kyle_O%27Quinn,kyle_oquinn,3.92,6.3,1,0.024
202391,Jeremy Lin,1610612751,BKN,28,36,13,23,0.361,24.5,103.5,106.4,-2.9,0.338,2.14,25.1,0.013,0.146,0.08,11.7,0.51,0.566,0.259,106.86,0.131,175,400,4.9,11.1,0.438,359,378,190,380,169,299,248,300,20,95,71,422,223,276,328,218,145,51,4,50,227,222,94,84,259,5,"2,023,911,610,612,750",Jeremy_Lin,JLin7,11.48,14.5,1,2.4
201952,Jeff Teague,1610612754,IND,29,82,42,40,0.512,32.4,108.1,106.8,1.2,0.359,2.96,32.8,0.014,0.123,0.07,11.1,0.492,0.574,0.221,98.98,0.131,402,909,4.9,11.1,0.442,1,82,387,202,57,111,272,158,14,26,21,410,302,327,291,280,125,108,186,51,63,58,89,86,242,5,"2,019,521,610,612,750",Jeff_Teague_(basketball),teague0,8,15.3,1,0.083
2199,Tyson Chandler,1610612756,PHX,34,47,15,32,0.319,27.6,106.6,109.5,-2.9,0.033,0.46,7.9,0.127,0.339,0.23,17.2,0.671,0.703,0.113,101.88,0.131,153,228,3.3,4.9,0.671,319,357,295,414,114,156,390,295,460,453,428,36,6,8,461,6,5,455,56,52,255,306,186,295,6,5,"21,991,610,612,756",Tyson_Chandler,tysonchandler,13,8.4,1,0.84
203991,Clint Capela,1610612745,HOU,23,65,44,21,0.677,23.9,113.7,105.9,7.8,0.066,0.72,8,0.127,0.25,0.188,11,0.643,0.638,0.201,101.19,0.13,362,563,5.6,8.7,0.643,220,72,172,49,177,25,226,43,370,413,426,37,42,28,284,14,20,161,70,53,85,144,66,136,12,5,"2,039,911,610,612,740",Clint_Capela,capelaclint,1.3,12.6,1,0.025
201609,Goran Dragic,1610612748,MIA,31,73,40,33,0.548,33.7,106.7,106,0.6,0.283,2,22,0.028,0.098,0.063,11,0.527,0.575,0.268,98.16,0.13,534,1124,7.3,15.4,0.475,145,92,305,154,37,154,235,176,37,130,110,281,387,365,285,162,123,38,248,54,30,29,30,33,144,5,"2,016,091,610,612,740",Goran_Dragić,goran_dragic,15.89,20.3,1,0.226
2757,Beno Udrih,1610612765,DET,34,39,18,21,0.462,14.4,103.3,97.9,5.4,0.364,3.64,34.6,0.012,0.102,0.058,9.5,0.495,0.535,0.201,95.46,0.13,92,197,2.4,5.1,0.467,346,327,172,265,342,310,25,65,11,9,16,426,377,392,192,264,248,162,419,55,319,327,265,283,164,5,"27,571,610,612,765",Beno_Udrih,benoudrih1,1.55,5.8,1,0.023
1627848,Shawn Long,1610612755,PHI,24,18,5,13,0.278,13,110.5,108,2.6,0.087,1,8.6,0.196,0.214,0.205,8.6,0.592,0.595,0.245,101.37,0.128,61,109,3.4,6.1,0.56,419,434,94,441,361,60,325,123,296,342,412,3,70,16,143,34,76,67,66,56,355,376,180,229,36,5,"16,278,481,610,612,700",Shawn_Long,shawnlong21,0.54,8.2,1,0.002
201588,George Hill,1610612762,UTA,31,49,33,16,0.673,31.5,109.7,101,8.6,0.227,2.4,20.8,0.017,0.105,0.062,8.7,0.554,0.599,0.236,92.9,0.128,289,606,5.9,12.4,0.477,312,177,119,53,63,75,54,34,74,64,126,387,360,368,146,86,70,78,473,57,123,135,60,65,140,5,"2,015,881,610,612,760",George_Hill_(basketball),george_hill3,8,16.9,1,0.244
1626210,Alan Williams,1610612756,PHX,24,47,11,36,0.234,15.1,105.6,105.8,-0.3,0.049,0.62,6.1,0.138,0.293,0.215,9.8,0.517,0.547,0.206,102.8,0.127,138,267,2.9,5.7,0.517,319,392,341,459,329,195,220,211,430,433,459,20,16,11,216,191,206,143,39,58,272,288,215,247,79,5,"16,262,101,610,612,700",Alan_Williams_(basketball),alantwilliams,0.96,7.4,1,0.008
202344,Trevor Booker,1610612751,BKN,29,71,18,53,0.254,24.7,99.4,107.3,-7.9,0.131,1.09,15.3,0.089,0.251,0.172,14,0.537,0.554,0.188,103.12,0.127,305,591,4.3,8.3,0.516,169,327,472,452,165,413,294,402,194,323,219,87,38,46,422,118,178,221,30,59,110,141,117,146,80,5,"2,023,441,610,612,750",Trevor_Booker,35_fitz,9.05,10,1,0.031
203462,Archie Goodwin,1610612751,BKN,22,15,8,7,0.533,14.3,103.3,108.7,-5.4,0.186,1.71,19.6,0.039,0.106,0.074,11.4,0.583,0.651,0.209,99.52,0.127,36,66,2.4,4.4,0.545,431,408,48,166,344,306,365,356,116,179,138,224,358,300,314,47,11,137,160,60,390,406,259,317,47,5,"2,034,621,610,612,750",Archie_Goodwin_(basketball),a1laflare10,0.94,7.9,1,0.101
203457,Nerlens Noel,1610612742,DAL,23,51,24,27,0.471,20.5,103,105.5,-2.6,0.078,0.98,10.9,0.1,0.225,0.161,11.1,0.595,0.622,0.176,98.69,0.127,184,309,3.6,6.1,0.595,304,275,221,257,220,324,209,284,328,363,333,65,61,63,293,30,34,264,211,61,217,273,160,228,21,5,"2,034,571,610,612,740",Nerlens_Noel,nerlensnoel3,4.38,8.5,1,0.245
200794,Paul Millsap,1610612737,ATL,32,69,40,29,0.58,34,105,103,2,0.172,1.59,16.2,0.053,0.192,0.124,10.1,0.481,0.542,0.243,100.22,0.126,430,972,6.2,14.1,0.442,183,92,250,139,31,214,100,135,135,212,203,176,116,139,237,322,227,70,119,62,47,45,47,45,241,5,"2,007,941,610,612,730",Paul_Millsap,paulmillsap4,18.67,18.1,1,0.065
